Plate,Hour,Reading,Row,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
1,24,1,A,0.268099993,0.515699983,0.506299973,0.868499994,0.454600006,0.938600004,0.847000003,1.010699987,1.077100039,0.205300003,0.435000002,0.160899997
1,24,1,B,0.492599994,0.639500022,0.667599976,0.65079999,1.004400015,1.216799974,1.302000046,1.506999969,1.467700005,1.511999965,1.38499999,0.449900001
1,24,1,C,0.475699991,0.567700028,0.573300004,0.847100019,0.965300024,1.247699976,1.530799985,1.59679997,1.527899981,1.478199959,1.561499953,0.426999986
1,24,1,D,0.48969999,0.642700016,0.58069998,0.643100023,0.968500018,1.340800047,1.261999965,1.472499967,1.50059998,1.511399984,1.361500025,0.426699996
1,24,1,E,0.496199995,0.600700021,0.567700028,0.647700012,0.968800008,1.430600047,1.403399944,1.524500012,1.563799977,1.496999979,1.468000054,0.448300004
1,24,1,F,0.502099991,0.547299981,0.63349998,0.641600013,0.998700023,1.386899948,1.449100018,1.680400014,1.429700017,1.335399985,1.355900049,0.389600009
1,24,1,G,0.5,0.613300025,0.698800027,0.593699992,0.975700021,1.32159996,1.532600045,1.573199987,1.555600047,1.452100039,1.361299992,0.420399994
1,24,1,H,0.231600001,0.503499985,0.529200017,0.507600009,0.497399986,0.494500011,0.523400009,0.518899977,0.516600013,0.230800003,0.263799995,0.185900003
1,24,2,A,0.274699986,0.523199975,0.513300002,0.951699972,0.472900003,0.969500005,0.902199984,0.739000022,0.939300001,0.209900007,0.455000013,0.164000005
1,24,2,B,0.500199974,0.652100027,0.677200019,0.658999979,1.010900021,1.215999961,1.301900029,1.500499964,1.45480001,1.497699976,1.375200033,0.42750001
1,24,2,C,0.488599986,0.579100013,0.582000017,0.858699977,0.970399976,1.248700023,1.524799943,1.589900017,1.521199942,1.466899991,1.580800056,0.43689999
1,24,2,D,0.497500002,0.654200017,0.58829999,0.651799977,0.977400005,1.336199999,1.260100007,1.469400048,1.496999979,1.503399968,1.351300001,0.434300005
1,24,2,E,0.501299977,0.611100018,0.578700006,0.655499995,0.974399984,1.430099964,1.39260006,1.522600055,1.560700059,1.487400055,1.458099961,0.457899988
1,24,2,F,0.511500001,0.556999981,0.642499983,0.650200009,1.003299952,1.39349997,1.445500016,1.675899982,1.423300028,1.328199983,1.347200036,0.396699995
1,24,2,G,0.508000016,0.620199978,0.708700001,0.601800025,0.980300009,1.321200013,1.527199984,1.568799973,1.546300054,1.440299988,1.353899956,0.49939999
1,24,2,H,0.235599995,0.510999978,0.538600028,0.517099977,0.503199995,0.503499985,0.533399999,0.528199971,0.524100006,0.236200005,0.268900007,0.190599993
2,48,1,A,0.342799991,0.3574,0.343499988,0.345800012,0.338999987,0.371100008,0.332800001,0.33919999,0.349900007,0.350600004,0.343300015,0.341800004
2,48,1,B,0.467099994,0.593400002,0.525699973,0.520699978,0.626399994,0.895600021,1.077100039,0.702600002,0.719399989,0.774999976,0.738399982,0.472000003
2,48,1,C,0.449499995,0.578599989,0.526000023,0.505800009,0.604499996,0.877799988,0.980400026,0.710099995,0.816999972,0.80339998,0.770099998,0.4833
2,48,1,D,0.460900009,0.572000027,0.517799973,0.480699986,0.690999985,0.863699973,0.951499999,0.663399994,0.796299994,0.763800025,0.770399988,0.459199995
2,48,1,E,0.486699998,0.559899986,0.529799998,0.550800025,0.624499977,0.847000003,0.992399991,0.667900026,0.751800001,0.746599972,0.743200004,0.480800003
2,48,1,F,0.430700004,0.58130002,0.539399981,0.5255,0.566299975,0.883700013,1.022199988,0.665099978,0.764599979,0.763499975,0.679499984,0.469999999
2,48,1,G,0.480500013,0.570900023,0.53670001,0.524200022,0.590600014,0.86680001,1.045799971,0.662199974,0.737299979,0.779500008,0.699500024,0.459100008
2,48,1,H,0.343300015,0.342099994,0.349700004,0.33829999,0.343300015,0.342099994,0.356099993,0.34740001,0.364499986,0.366699994,0.342700005,0.338699996
2,48,2,A,0.349900007,0.365399987,0.349799991,0.354000002,0.346399993,0.361999989,0.339100003,0.346500009,0.356700003,0.356599987,0.349400014,0.347499996
2,48,2,B,0.475300014,0.606899977,0.537299991,0.530300021,0.629400015,0.889900029,1.031399965,0.696500003,0.735000014,0.751600027,0.748899996,0.481400013
2,48,2,C,0.460200012,0.591899991,0.539699972,0.516200006,0.843599975,0.894699991,1.025699973,0.712700009,0.801100016,0.796999991,0.748399973,0.490799993
2,48,2,D,0.469300002,0.585500002,0.5273,0.486999989,0.656700015,0.872399986,1.031700015,0.682900012,0.781300008,0.782999992,0.725600004,0.466500014
2,48,2,E,0.494700015,0.571699977,0.538800001,0.563399971,0.628199995,0.85860002,1.051599979,0.692900002,0.774900019,0.759599984,0.737100005,0.487800002
2,48,2,F,0.439399987,0.595799983,0.549700022,0.535899997,0.578199983,0.907100022,1.049700022,0.677900016,0.773999989,0.779100001,0.694599986,0.477899998
2,48,2,G,0.487800002,0.583299994,0.546599984,0.534099996,0.603600025,0.880400002,1.060400009,0.673399985,0.747300029,0.792599976,0.71390003,0.466500014
2,48,2,H,0.348500013,0.348199993,0.355300009,0.344099998,0.349799991,0.347200006,0.361499995,0.353199989,0.370900005,0.372399986,0.348399997,0.344000012
3,72,1,A,0.352699995,0.350699991,0.344999999,0.348500013,0.344300002,0.341300011,0.348500013,0.343800008,0.353399992,0.348800004,0.337099999,0.373600006
3,72,1,B,0.528599977,0.535399973,0.548600018,0.602699995,0.758700013,1.806800008,2.680700064,2.778199911,2.606699944,2.364900112,2.644099951,0.544799984
3,72,1,C,0.543900013,0.551500022,0.534699976,0.585600019,0.693000019,1.850299954,2.288599968,2.525300026,2.648900032,2.260999918,2.55250001,0.552399993
3,72,1,D,0.547500014,0.547299981,0.542599976,0.675199986,0.849799991,1.778800011,2.415400028,2.341599941,1.979599953,2.656599998,2.031699896,0.539600015
3,72,1,E,0.559499979,0.626999974,0.620299995,0.717899978,0.754899979,1.765100002,2.238100052,2.424400091,2.388700008,2.42840004,2.371500015,0.565400004
3,72,1,F,0.594500005,0.545300007,0.532400012,0.687699974,0.731899977,1.819000006,2.139699936,2.1171,2.572099924,2.438800097,2.060400009,0.550199986
3,72,1,G,0.586600006,0.535099983,0.529200017,0.724600017,0.737999976,1.895099998,2.357500076,2.632999897,2.586400032,2.427000046,2.316999912,0.596899986
3,72,1,H,0.352200001,0.343400002,0.350499988,0.448000014,0.356099993,0.382499993,0.406500012,0.371800005,0.357899994,0.345999986,0.330199987,0.340000004
3,72,2,A,0.359699994,0.356700003,0.351900011,0.355199993,0.351200014,0.346899986,0.35589999,0.350300014,0.359699994,0.355199993,0.343100011,0.380600005
3,72,2,B,0.536899984,0.54430002,0.557500005,0.612299979,0.764299989,1.807299972,2.408400059,2.789799929,2.674700022,2.270800114,2.636399984,0.555100024
3,72,2,C,0.552200019,0.56129998,0.544099987,0.593999982,0.70660001,1.884199977,2.340800047,2.605900049,2.580600023,2.249200106,2.440399885,0.565100014
3,72,2,D,0.555599988,0.556400001,0.551299989,0.683200002,0.808899999,1.868899941,2.3671,2.004600048,1.953199983,2.771600008,2.27609992,0.546199977
3,72,2,E,0.567300022,0.63380003,0.627499998,0.731599987,0.776499987,1.773900032,2.271899939,2.867799997,2.425899982,2.148499966,2.375799894,0.572600007
3,72,2,F,0.602599978,0.557099998,0.541700006,0.702099979,0.740499973,1.938799977,2.387500048,2.183099985,2.678600073,2.546600103,2.231699944,0.557900012
3,72,2,G,0.592899978,0.546500027,0.536300004,0.732599974,0.750999987,1.974499941,2.471299887,2.671600103,2.705199957,2.48390007,2.361700058,0.604700029
3,72,2,H,0.357600003,0.34920001,0.35679999,0.453200012,0.361200005,0.388000011,0.419499993,0.377000004,0.362399995,0.350899994,0.335399985,0.345299989
